data,taxa
01/08/1986,40.85
01/09/1986,45.06
01/10/1986,45.08
01/11/1986,89.86
01/12/1986,213.99
01/01/1987,415.99
01/02/1987,1158.46
01/03/1987,421.38
01/04/1987,675.20
01/05/1987,1683.53
01/06/1987,697.76
01/07/1987,169.46
01/08/1987,165.65
01/09/1987,172.98
01/10/1987,228.29
01/11/1987,406.29
01/12/1987,426.90
01/01/1988,640.88
01/02/1988,865.88
01/03/1988,498.79
01/04/1988,1050.80
01/05/1988,764.56
01/06/1988,724.42
01/07/1988,1285.38
01/08/1988,838.88
01/09/1988,1499.04
01/10/1988,2976.52
01/11/1988,1820.10
01/12/1988,1925.86
01/01/1989,1384.29
01/02/1989,1090.62
01/03/1989,843.19
01/04/1989,322.12
01/05/1989,273.02
01/06/1989,1492.72
01/07/1989,2897.02
01/08/1989,2668.86
01/09/1989,5875.54
01/10/1989,10283.44
01/11/1989,13956.40
01/12/1989,51689.76
01/01/1990,38596.65
01/02/1990,372919.82
01/03/1990,6031.25
01/04/1990,93.98
01/05/1990,93.62
01/06/1990,209.55
01/07/1990,364.25
01/08/1990,268.81
01/09/1990,749.03
01/10/1990,983.79
01/11/1990,1265.14
01/12/1990,2992.94
01/01/1991,1017.76
01/02/1991,245.16
01/03/1991,254.36
01/04/1991,284.99
01/05/1991,317.21
01/06/1991,258.29
01/07/1991,291.43
01/08/1991,445.96
01/09/1991,792.24
01/10/1991,1168.60
01/11/1991,3198.84
01/12/1991,3299.77
01/01/1992,1759.02
01/02/1992,2712.47
01/03/1992,1871.34
01/04/1992,1588.98
01/05/1992,1249.21
01/06/1992,1252.81
01/07/1992,1192.29
01/08/1992,1460.27
01/09/1992,1771.17
01/10/1992,1869.93
01/11/1992,1756.60
01/12/1992,1750.09
01/01/1993,2320.59
01/02/1993,4043.67
01/03/1993,1465.30
01/04/1993,3275.20
01/05/1993,2437.07
01/06/1993,2648.03
01/07/1993,2474.43
01/08/1993,2958.05
01/09/1993,4439.72
01/10/1993,5894.89
01/11/1993,5721.87
01/12/1993,5890.45
01/01/1994,7367.30
01/02/1994,16994.73
01/03/1994,8138.42
01/04/1994,14986.48
01/05/1994,8899.68
01/06/1994,11336.28
01/07/1994,125.79
01/08/1994,56.35
01/09/1994,57.29
01/10/1994,60.98
01/11/1994,66.12
01/12/1994,53.92
01/01/1995,47.89
01/02/1995,56.22
01/03/1995,60.42
01/04/1995,84.54
01/05/1995,61.44
01/06/1995,61.02
01/07/1995,60.27
01/08/1995,50.58
01/09/1995,49.68
01/10/1995,43.52
01/11/1995,42.28
01/12/1995,40.34
01/01/1996,33.58
01/02/1996,35.32
01/03/1996,29.81
01/04/1996,28.88
01/05/1996,25.53
01/06/1996,29.04
01/07/1996,23.08
01/08/1996,24.80
01/09/1996,25.11
01/10/1996,23.46
01/11/1996,25.12
01/12/1996,23.74
01/01/1997,21.86
01/02/1997,25.93
01/03/1997,23.85
01/04/1997,21.79
01/05/1997,21.81
01/06/1997,20.87
01/07/1997,19.07
01/08/1997,20.71
01/09/1997,19.69
01/10/1997,20.05
01/11/1997,44.86
01/12/1997,38.98
01/01/1998,37.13
01/02/1998,33.90
01/03/1998,28.03
01/04/1998,24.97
01/05/1998,22.56
01/06/1998,20.94
01/07/1998,20.21
01/08/1998,19.17
01/09/1998,34.37
01/10/1998,41.34
01/11/1998,37.77
01/12/1998,30.89
01/01/1999,31.13
01/02/1999,38.42
01/03/1999,42.50
01/04/1999,34.77
01/05/1999,26.22
01/06/1999,21.48
01/07/1999,20.25
01/08/1999,19.22
01/09/1999,19.11
01/10/1999,18.77
01/11/1999,18.74
01/12/1999,18.77
01/01/2000,18.73
01/02/2000,18.72
01/03/2000,18.70
01/04/2000,18.43
01/05/2000,18.44
01/06/2000,17.95
01/07/2000,16.79
01/08/2000,16.39
01/09/2000,16.47
01/10/2000,16.48
01/11/2000,16.44
01/12/2000,16.13
01/01/2001,15.40
01/02/2001,15.10
01/03/2001,15.29
01/04/2001,15.93
01/05/2001,16.40
01/06/2001,17.28
01/07/2001,18.61
01/08/2001,19.01
01/09/2001,19.04
01/10/2001,19.05
01/11/2001,19.05
01/12/2001,19.05
01/01/2002,19.02
01/02/2002,18.95
01/03/2002,18.70
01/04/2002,18.37
01/05/2002,18.21
01/06/2002,17.82
01/07/2002,18.15
01/08/2002,17.87
01/09/2002,17.89
01/10/2002,19.53
01/11/2002,21.14
01/12/2002,22.91
01/01/2003,24.98
01/02/2003,25.63
01/03/2003,26.25
01/04/2003,26.23
01/05/2003,26.22
01/06/2003,25.99
01/07/2003,25.24
01/08/2003,23.36
01/09/2003,20.88
01/10/2003,19.42
01/11/2003,18.23
01/12/2003,16.81
01/01/2004,16.22
01/02/2004,16.22
01/03/2004,16.13
01/04/2004,15.85
01/05/2004,15.73
01/06/2004,15.71
01/07/2004,15.71
01/08/2004,15.76
01/09/2004,15.99
01/10/2004,16.34
01/11/2004,16.93
01/12/2004,17.46
01/01/2005,17.92
01/02/2005,18.44
01/03/2005,18.89
01/04/2005,19.26
01/05/2005,19.57
01/06/2005,19.73
01/07/2005,19.70
01/08/2005,19.68
01/09/2005,19.56
01/10/2005,19.19
01/11/2005,18.80
01/12/2005,18.15
01/01/2006,17.60
01/02/2006,17.20
01/03/2006,16.69
01/04/2006,16.15
01/05/2006,15.66
01/06/2006,15.15
01/07/2006,14.94
01/08/2006,14.60
01/09/2006,14.11
01/10/2006,13.89
01/11/2006,13.60
01/12/2006,13.14
01/01/2007,13.07
01/02/2007,12.89
01/03/2007,12.69
01/04/2007,12.52
01/05/2007,12.35
01/06/2007,11.97
01/07/2007,11.67
01/08/2007,11.37
01/09/2007,11.16
01/10/2007,11.11
01/11/2007,11.11
01/12/2007,11.11
01/01/2008,11.08
01/02/2008,11.07
01/03/2008,11.09
01/04/2008,11.32
01/05/2008,11.55
01/06/2008,11.99
01/07/2008,12.30
01/08/2008,12.85
01/09/2008,13.33
01/10/2008,13.64
01/11/2008,13.30
01/12/2008,13.49
01/01/2009,13.26
01/02/2009,12.62
01/03/2009,11.65
01/04/2009,11.05
01/05/2009,10.10
01/06/2009,9.40
01/07/2009,8.93
01/08/2009,8.62
01/09/2009,8.62
01/10/2009,8.62
01/11/2009,8.63
01/12/2009,8.61
01/01/2010,8.62
01/02/2010,8.62
01/03/2010,8.61
01/04/2010,8.70
01/05/2010,9.38
01/06/2010,9.91
01/07/2010,10.30
01/08/2010,10.64
01/09/2010,10.62
01/10/2010,10.64
01/11/2010,10.64
01/12/2010,10.64
01/01/2011,10.83
01/02/2011,11.15
01/03/2011,11.60
01/04/2011,11.72
01/05/2011,11.89
01/06/2011,12.05
01/07/2011,12.24
01/08/2011,12.40
01/09/2011,11.88
01/10/2011,11.68
01/11/2011,11.37
01/12/2011,10.87
01/01/2012,10.62
01/02/2012,10.30
01/03/2012,9.66
01/04/2012,9.19
01/05/2012,8.72
01/06/2012,8.35
01/07/2012,8.02
01/08/2012,7.78
01/09/2012,7.36
01/10/2012,7.18
01/11/2012,7.08
01/12/2012,6.94
01/01/2013,6.93
01/02/2013,6.96
01/03/2013,6.99
01/04/2013,7.10
01/05/2013,7.25
01/06/2013,7.72
01/07/2013,8.05
01/08/2013,8.27
01/09/2013,8.72
01/10/2013,9.16
01/11/2013,9.33
01/12/2013,9.78
01/01/2014,10.05
01/02/2014,10.32
01/03/2014,10.56
01/04/2014,10.77
01/05/2014,10.80
01/06/2014,10.80
01/07/2014,10.80
01/08/2014,10.82
01/09/2014,10.82
01/10/2014,10.85
01/11/2014,11.09
01/12/2014,11.51
01/01/2015,11.74
01/02/2015,12.09
01/03/2015,12.53
01/04/2015,12.63
